hash_id,company,clean_name,notice_date,effective_date,employee_count,city,state,source_url
e78d791be78a088660be10fdd3584b99,"Plug Power, Inc.","Plug Power, Inc.",2025-03-25,,261,Slingerlands,NY,https://dol.ny.gov/warn-plug-power-inc-region-capital-date-posted-3312025-notice-date-3252025
a313f52317f7b6359eb70d6bed6811b4,"Bedabox, LLC d/b/a ShipMonk","Bedabox, LLC d/b/a ShipMonk",,2025-03-21,67,Bay Shore,NY,https://dol.ny.gov/warn-bedabox-llc-dba-shipmonk-region-long-island-date-posted-3312025-amended-notice-date-3172025
570c081c9fbbbf4730835158db8f41e7,"Interstate Hotels, LLC. d/b/a The Roosevelt Hotel","Interstate Hotels, LLC. d/b/a The Roosevelt Hotel",2025-03-21,2025-06-22,96,New York,NY,https://dol.ny.gov/warn-interstate-hotels-llc-dba-roosevelt-hotel-region-new-york-city-date-posted-3272025-notice-date
2af52a4b31d7604137770f932458778c,"CYH Manhattan, LLC. d/b/a The Stewart Hotel","CYH Manhattan, LLC. d/b/a The Stewart Hotel",2025-03-14,2025-06-12,99,New York,NY,https://dol.ny.gov/warn-cyh-manhattan-llc-dba-stewart-hotel-region-new-york-city-date-posted-3242025-notice-date
315414ab7cc197395cb8b10632cc8778,"Nogin Commerce, LLC.","Nogin Commerce, LLC.",2025-03-16,2025-03-16,20,New York,NY,https://dol.ny.gov/warn-nogin-commerce-llc-region-new-york-city-date-posted-3242025-notice-date-3162025
6e1f2fe65cebbd1fd56eb4c06e338983,International AIDS Vaccine Initiative,International AIDS Vaccine Initiative,2025-03-14,,8,New York,NY,https://dol.ny.gov/warn-international-aids-vaccine-initiative-region-new-york-city-date-posted-3212025-notice-date
f1a7a2660cf50f3baf367ddf9a415367,"Mental Health Association of New York City, Inc. d/b/a Vibrant Emotional Health","Mental Health Association of New York City, Inc. d/b/a Vibrant Emotional Health",2025-02-13,2025-06-15,36,Bronx,NY,https://dol.ny.gov/warn-mental-health-association-new-york-city-inc-dba-vibrant-emotional-health-region-new-york-city
3b619a630834d07d97676e60163d5949,"Sumitomo Rubber USA., LLC","Sumitomo Rubber USA., LLC",,,1380,Tonawanda,NY,https://dol.ny.gov/warn-sumitomo-rubber-usa-llc-region-western-date-posted-3212025-notice-date-1172024-amended-2142025
019deb3d394e7b01ddb0b2a88656f2fc,"Amscan Inc., a Party City Holdings, Inc.","Amscan Inc., a Party City Holdings, Inc.",,2025-02-28,524,Chester,NY,https://dol.ny.gov/warn-amscan-inc-party-city-holdings-inc-region-hudson-valley-date-posted-3152025-notice-date
97e22a5f55f1a66c6f257255def3f5d3,"Rapid Reliable Care by DocGo, LLC. d/b/a Rapid Reliable Care; DocGo","Rapid Reliable Care by DocGo, LLC. d/b/a Rapid Reliable Care; DocGo",2025-02-27,2025-03-08,360,Brooklyn,NY,https://dol.ny.gov/warn-rapid-reliable-care-docgo-llc-dba-rapid-reliable-care-docgo-region-new-york-city-date-posted
f91defd022f94209186243fb218760e6,"F21 OpCO, LLC. d/b/a Forever 21","F21 OpCO, LLC. d/b/a Forever 21",2025-02-19,2025-05-27,99,New York,NY,https://dol.ny.gov/warn-f21-opco-llc-dba-forever-21-region-new-york-city-date-posted-3132025-notice-date-2192025
d2c4862ac82d215fe134cb51b649e0d1,"NEP Group, Inc.","NEP Group, Inc.",2025-03-01,,26,New York,NY,https://dol.ny.gov/warn-nep-group-inc-region-new-york-city-date-posted-3132025-notice-date-312025
76b8f264dfc83181f7c20e507437e88c,TL Cannon Management Corp. d/b/a Applebee’s,TL Cannon Management Corp. d/b/a Applebee’s,2025-02-24,2025-05-27,10,Ithaca,NY,https://dol.ny.gov/warn-tl-cannon-management-corp-dba-applebees-region-southern-tier-date-posted-3122025-notice-date
2d51885480f7fa482a72c4a3e03e80b0,"Cold Spring Acquisition, LLC d/b/a Cold Spring Hills Center for Nursing and Rehabilitation","Cold Spring Acquisition, LLC d/b/a Cold Spring Hills Center for Nursing and Rehabilitation",,2024-12-23,490,Woodbury,NY,https://dol.ny.gov/warn-cold-spring-acquisition-llc-dba-cold-spring-hills-center-nursing-and-rehabilitation-region
a7d5d916b6fcc29420a1b0b2501d8974,"Eaglestone, LLC, Eaglestone Holdings, LLC, Eaglestone Intermediate Holdings, LLC, and","Eaglestone, LLC, Eaglestone Holdings, LLC, Eaglestone Intermediate Holdings, LLC, and",2025-02-07,2025-02-07,6,New York,NY,https://dol.ny.gov/warn-eaglestone-llc-eaglestone-holdings-llc-eaglestone-intermediate-holdings-llc-and-eaglestone
80135fc5522dca6ded5c2b3aab520958,"Institute of International Education, Inc.","Institute of International Education, Inc.",2025-03-07,,2,New York,NY,https://dol.ny.gov/warn-institute-international-education-inc-region-new-york-city-date-posted-3112025-notice-date
954bb8e37de1fdf36b10a897c3e227af,"Technicolor Creative Services USA, Inc.","Technicolor Creative Services USA, Inc.",2025-02-21,2025-02-24,226,New York,NY,https://dol.ny.gov/warn-technicolor-creative-services-usa-inc-region-new-york-city-date-posted-3112025-notice-date
0ec95796df07ad56341604ab4d47b71c,"Marquardt Switches, Inc.","Marquardt Switches, Inc.",,,8,Cazenovia,NY,https://dol.ny.gov/warn-marquardt-switches-inc-region-mohawk-valley-date-posted-3112025-notice-date-1012024-amended
34c0ba6f68b603e95bbe3e9f0040c6af,"Northern Lights Enterprises, Inc. d/b/a Northern Lights Candles","Northern Lights Enterprises, Inc. d/b/a Northern Lights Candles",2025-02-26,,38,Wellsville,NY,https://dol.ny.gov/warn-northern-lights-enterprises-inc-dba-northern-lights-candles-region-western-notice-date-2262025
97a98b42ed8f524880d0ee212cc87e8b,"Startek USA, Inc.","Startek USA, Inc.",2025-01-31,,151,,NY,https://dol.ny.gov/warn-startek-usa-inc-region-multiple-regions-notice-date-1312025-date-posted-372025
e9e19c6ba8a378d0c34de4a6b410de68,"Tri Cor Direct Incorporated, an affiliate of Brady Corporation","Tri Cor Direct Incorporated, an affiliate of Brady Corporation",2025-02-27,2025-05-30,112,,NY,https://dol.ny.gov/warn-tri-cor-direct-incorporated-affiliate-brady-corporation-region-western-notice-date-2272025
616710694332f6a0f22569b002e10cf3,"EEDU, LLC.","EEDU, LLC.",2025-03-05,2025-03-05,129,Tonawanda,NY,https://dol.ny.gov/warn-eedu-llc-region-western-notice-date-352025-date-posted-372025
a4875490fc79d53e6d12a5fa965e29ca,"Pace Field Services, LLC.","Pace Field Services, LLC.",2025-02-06,2025-02-06,57,Brooklyn,NY,https://dol.ny.gov/warn-pace-field-services-llc-new-york-inc-region-new-york-city-date-posted-362025-notice-date
